CASEID	COMPLETE	SCHL_ID	SCHL_PSU	DIST_ID	DIVISION	SCHL_WT	DIST_WT	A1	A1B_G6	A1B_G7	A1B_G8	A1B_G9	A1B_G10	A2	A3	A4A	A4B	A4C	A4D	A4E	A4F	A4G	A4H	A4I	A5	A6A	A6B	A6C	A7	A8A	A8B	A8C	A9	A10A_CAT	A10B_CAT	A10C_CAT	A10A_COMP	A10B_COMP	A10AB_COMP	A11A_CAT	A11B_CAT	A11C_CAT	A11A_COMP	A11B_COMP	A11AB_COMP	A12	A13A	A13B	A13C	A13D	A14A	A14B	A14C	A14D	A15	A16A	A16B	A16C	A16D	A16E	A16F	A16G	A16H	A16I	A17	A18	A19	A20A	A20B	A20C	A20D	A21A	A21B	A21C	A22	A23	A24_G6	A24_G7	A24_G8	A24_G9	A24_G10	A25A	A25B	A25C	A25D	A25E	A25F	A25G	A25H	A25I	A25J	A25K	A25L	A25M	A25N	A25O	A25P	A26
1	1	213	4	6050	1	689.296889724761	25.0362857937123	2	6	6	6	6	6	2	2	1	2	2	2	1	2	2	1	2	2	-9	2	-9	2	2	2	1	1	7	4	7	2	2	3	4	4	5	2	2	3	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	1	1	2	5	1	2	2	2	1	2	2	1	2	5	4	4	4	4	4	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	4
2	1	141	5	7389	9	118.869871216411	1.03966172297508	2	3	3	3	-9	-9	2	2	1	1	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	9	6	6	4	4	5	9	6	6	4	4	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	5	2	2	2	2	2	2	2	1	2	5	2	2	2	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	1	116	6	3358	7	1128.89421176005	89.9843212272502	2	-9	-9	-9	6	6	2	2	1	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	1	1	8	6	5	4	5	4	3	5	4	2	5	4	2	2	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	1	-8	1	1	1	2	1	2	1	1	2	5	-9	-9	-9	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2
4	1	155	6	5553	5	146.758372210472	9.38315266880143	2	6	6	6	-9	-9	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	1	2	2	1	9	6	9	3	2	3	6	3	5	3	2	3	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	1	2	2	1	-8	1	1	2	2	1	2	2	1	2	5	6	6	6	-9	-9	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1
5	1	100	5	8232	3	63.7414580983654	15.3771455429706	2	-9	-9	-9	6	1	1	2	2	2	2	2	1	1	2	1	2	2	1	2	1	2	1	2	1	1	9	0	0	-9	-9	-9	9	0	0	-9	-9	-9	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	1	1	2	2	5	2	1	1	1	1	-9	-9	1	2	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	1	2
6	0	221	5	7330	9	131.049858312839	1.59399246923505	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
7	1	6	5	3397	7	107.763712202523	5.31643534450116	2	-9	-9	-9	6	-9	1	2	2	2	2	2	2	1	2	2	2	2	-9	2	-9	2	2	2	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	1	1	2	2	5	1	2	2	2	2	2	2	1	2	5	-9	-9	-9	5	1	2	2	2	2	2	1	2	1	1	1	2	2	2	2	2	1	1
8	1	74	1	5596	5	215.962834292215	8.35300271048087	2	-9	-9	-9	6	6	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	2	2	2	2	2	8	6	9	1	2	2	-9	-9	-9	-9	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	5	-9	-9	-9	-9	6	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	1
9	0	8	5	5535	5	184.481561903316	5.54881752737777	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
10	1	68	5	7287	9	172.337297822117	21.2958990776378	2	-9	6	6	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	4	4	9	1	1	1	3	3	5	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2	5	1	1	2	2	1	2	2	-9	2	5	-9	1	1	-9	-9	1	2	1	2	2	2	2	2	2	1	2	2	1	1	2	2	1
